"Character","Description","Encoded Byte"
" &#68248;","OLD NORTH ARABIAN LETTER ZAIN (U+10A98)"," f090aa98"
" &#68249;","OLD NORTH ARABIAN LETTER THAL (U+10A99)"," f090aa99"
" &#68250;","OLD NORTH ARABIAN LETTER YEH (U+10A9A)"," f090aa9a"
" &#68251;","OLD NORTH ARABIAN LETTER THEH (U+10A9B)"," f090aa9b"
" &#68252;","OLD NORTH ARABIAN LETTER ZAH (U+10A9C)"," f090aa9c"
" &#68253;","OLD NORTH ARABIAN NUMBER ONE (U+10A9D)"," f090aa9d"
" &#68254;","OLD NORTH ARABIAN NUMBER TEN (U+10A9E)"," f090aa9e"
" &#68255;","OLD NORTH ARABIAN NUMBER TWENTY (U+10A9F)"," f090aa9f"
" &#68288;","MANICHAEAN LETTER ALEPH (U+10AC0)"," f090ab80"
" &#68289;","MANICHAEAN LETTER BETH (U+10AC1)"," f090ab81"
" &#68290;","MANICHAEAN LETTER BHETH (U+10AC2)"," f090ab82"
" &#68291;","MANICHAEAN LETTER GIMEL (U+10AC3)"," f090ab83"
" &#68292;","MANICHAEAN LETTER GHIMEL (U+10AC4)"," f090ab84"
" &#68293;","MANICHAEAN LETTER DALETH (U+10AC5)"," f090ab85"
" &#68294;","MANICHAEAN LETTER HE (U+10AC6)"," f090ab86"
" &#68295;","MANICHAEAN LETTER WAW (U+10AC7)"," f090ab87"
" &#68296;","MANICHAEAN SIGN UD (U+10AC8)"," f090ab88"
" &#68297;","MANICHAEAN LETTER ZAYIN (U+10AC9)"," f090ab89"
" &#68298;","MANICHAEAN LETTER ZHAYIN (U+10ACA)"," f090ab8a"
" &#68299;","MANICHAEAN LETTER JAYIN (U+10ACB)"," f090ab8b"
" &#68300;","MANICHAEAN LETTER JHAYIN (U+10ACC)"," f090ab8c"
" &#68301;","MANICHAEAN LETTER HETH (U+10ACD)"," f090ab8d"
" &#68302;","MANICHAEAN LETTER TETH (U+10ACE)"," f090ab8e"
" &#68303;","MANICHAEAN LETTER YODH (U+10ACF)"," f090ab8f"
" &#68304;","MANICHAEAN LETTER KAPH (U+10AD0)"," f090ab90"
" &#68305;","MANICHAEAN LETTER XAPH (U+10AD1)"," f090ab91"
" &#68306;","MANICHAEAN LETTER KHAPH (U+10AD2)"," f090ab92"
" &#68307;","MANICHAEAN LETTER LAMEDH (U+10AD3)"," f090ab93"
" &#68308;","MANICHAEAN LETTER DHAMEDH (U+10AD4)"," f090ab94"
" &#68309;","MANICHAEAN LETTER THAMEDH (U+10AD5)"," f090ab95"
" &#68310;","MANICHAEAN LETTER MEM (U+10AD6)"," f090ab96"
" &#68311;","MANICHAEAN LETTER NUN (U+10AD7)"," f090ab97"
" &#68312;","MANICHAEAN LETTER SAMEKH (U+10AD8)"," f090ab98"
" &#68313;","MANICHAEAN LETTER AYIN (U+10AD9)"," f090ab99"
" &#68314;","MANICHAEAN LETTER AAYIN (U+10ADA)"," f090ab9a"
" &#68315;","MANICHAEAN LETTER PE (U+10ADB)"," f090ab9b"
" &#68316;","MANICHAEAN LETTER FE (U+10ADC)"," f090ab9c"
" &#68317;","MANICHAEAN LETTER SADHE (U+10ADD)"," f090ab9d"
" &#68318;","MANICHAEAN LETTER QOPH (U+10ADE)"," f090ab9e"
" &#68319;","MANICHAEAN LETTER XOPH (U+10ADF)"," f090ab9f"
" &#68320;","MANICHAEAN LETTER QHOPH (U+10AE0)"," f090aba0"
" &#68321;","MANICHAEAN LETTER RESH (U+10AE1)"," f090aba1"
" &#68322;","MANICHAEAN LETTER SHIN (U+10AE2)"," f090aba2"
" &#68323;","MANICHAEAN LETTER SSHIN (U+10AE3)"," f090aba3"
" &#68324;","MANICHAEAN LETTER TAW (U+10AE4)"," f090aba4"
" &#68325;","MANICHAEAN ABBREVIATION MARK ABOVE (U+10AE5)"," f090aba5"
" &#68326;","MANICHAEAN ABBREVIATION MARK BELOW (U+10AE6)"," f090aba6"
" &#68331;","MANICHAEAN NUMBER ONE (U+10AEB)"," f090abab"
" &#68332;","MANICHAEAN NUMBER FIVE (U+10AEC)"," f090abac"
" &#68333;","MANICHAEAN NUMBER TEN (U+10AED)"," f090abad"
" &#68334;","MANICHAEAN NUMBER TWENTY (U+10AEE)"," f090abae"
" &#68335;","MANICHAEAN NUMBER ONE HUNDRED (U+10AEF)"," f090abaf"
" &#68336;","MANICHAEAN PUNCTUATION STAR (U+10AF0)"," f090abb0"
" &#68337;","MANICHAEAN PUNCTUATION FLEURON (U+10AF1)"," f090abb1"
" &#68338;","MANICHAEAN PUNCTUATION DOUBLE DOT WITHIN DOT (U+10AF2)"," f090abb2"
" &#68339;","MANICHAEAN PUNCTUATION DOT WITHIN DOT (U+10AF3)"," f090abb3"
" &#68340;","MANICHAEAN PUNCTUATION DOT (U+10AF4)"," f090abb4"
" &#68341;","MANICHAEAN PUNCTUATION TWO DOTS (U+10AF5)"," f090abb5"
" &#68342;","MANICHAEAN PUNCTUATION LINE FILLER (U+10AF6)"," f090abb6"
" &#68352;","AVESTAN LETTER A (U+10B00)"," f090ac80"
" &#68353;","AVESTAN LETTER AA (U+10B01)"," f090ac81"
" &#68354;","AVESTAN LETTER AO (U+10B02)"," f090ac82"
" &#68355;","AVESTAN LETTER AAO (U+10B03)"," f090ac83"
" &#68356;","AVESTAN LETTER AN (U+10B04)"," f090ac84"
" &#68357;","AVESTAN LETTER AAN (U+10B05)"," f090ac85"
" &#68358;","AVESTAN LETTER AE (U+10B06)"," f090ac86"
" &#68359;","AVESTAN LETTER AEE (U+10B07)"," f090ac87"
" &#68360;","AVESTAN LETTER E (U+10B08)"," f090ac88"
" &#68361;","AVESTAN LETTER EE (U+10B09)"," f090ac89"
" &#68362;","AVESTAN LETTER O (U+10B0A)"," f090ac8a"
" &#68363;","AVESTAN LETTER OO (U+10B0B)"," f090ac8b"
" &#68364;","AVESTAN LETTER I (U+10B0C)"," f090ac8c"
" &#68365;","AVESTAN LETTER II (U+10B0D)"," f090ac8d"
" &#68366;","AVESTAN LETTER U (U+10B0E)"," f090ac8e"
" &#68367;","AVESTAN LETTER UU (U+10B0F)"," f090ac8f"
" &#68368;","AVESTAN LETTER KE (U+10B10)"," f090ac90"
" &#68369;","AVESTAN LETTER XE (U+10B11)"," f090ac91"
" &#68370;","AVESTAN LETTER XYE (U+10B12)"," f090ac92"
" &#68371;","AVESTAN LETTER XVE (U+10B13)"," f090ac93"
" &#68372;","AVESTAN LETTER GE (U+10B14)"," f090ac94"
" &#68373;","AVESTAN LETTER GGE (U+10B15)"," f090ac95"
" &#68374;","AVESTAN LETTER GHE (U+10B16)"," f090ac96"
" &#68375;","AVESTAN LETTER CE (U+10B17)"," f090ac97"
" &#68376;","AVESTAN LETTER JE (U+10B18)"," f090ac98"
" &#68377;","AVESTAN LETTER TE (U+10B19)"," f090ac99"
" &#68378;","AVESTAN LETTER THE (U+10B1A)"," f090ac9a"
" &#68379;","AVESTAN LETTER DE (U+10B1B)"," f090ac9b"
" &#68380;","AVESTAN LETTER DHE (U+10B1C)"," f090ac9c"
" &#68381;","AVESTAN LETTER TTE (U+10B1D)"," f090ac9d"
" &#68382;","AVESTAN LETTER PE (U+10B1E)"," f090ac9e"
" &#68383;","AVESTAN LETTER FE (U+10B1F)"," f090ac9f"
" &#68384;","AVESTAN LETTER BE (U+10B20)"," f090aca0"
" &#68385;","AVESTAN LETTER BHE (U+10B21)"," f090aca1"
" &#68386;","AVESTAN LETTER NGE (U+10B22)"," f090aca2"
" &#68387;","AVESTAN LETTER NGYE (U+10B23)"," f090aca3"
" &#68388;","AVESTAN LETTER NGVE (U+10B24)"," f090aca4"
" &#68389;","AVESTAN LETTER NE (U+10B25)"," f090aca5"
" &#68390;","AVESTAN LETTER NYE (U+10B26)"," f090aca6"
" &#68391;","AVESTAN LETTER NNE (U+10B27)"," f090aca7"
" &#68392;","AVESTAN LETTER ME (U+10B28)"," f090aca8"
" &#68393;","AVESTAN LETTER HME (U+10B29)"," f090aca9"
" &#68394;","AVESTAN LETTER YYE (U+10B2A)"," f090acaa"
" &#68395;","AVESTAN LETTER YE (U+10B2B)"," f090acab"
" &#68396;","AVESTAN LETTER VE (U+10B2C)"," f090acac"
" &#68397;","AVESTAN LETTER RE (U+10B2D)"," f090acad"
" &#68398;","AVESTAN LETTER LE (U+10B2E)"," f090acae"
" &#68399;","AVESTAN LETTER SE (U+10B2F)"," f090acaf"
" &#68400;","AVESTAN LETTER ZE (U+10B30)"," f090acb0"
" &#68401;","AVESTAN LETTER SHE (U+10B31)"," f090acb1"
" &#68402;","AVESTAN LETTER ZHE (U+10B32)"," f090acb2"
" &#68403;","AVESTAN LETTER SHYE (U+10B33)"," f090acb3"
" &#68404;","AVESTAN LETTER SSHE (U+10B34)"," f090acb4"
" &#68405;","AVESTAN LETTER HE (U+10B35)"," f090acb5"
" &#68409;","AVESTAN ABBREVIATION MARK (U+10B39)"," f090acb9"
" &#68410;","TINY TWO DOTS OVER ONE DOT PUNCTUATION (U+10B3A)"," f090acba"
" &#68411;","SMALL TWO DOTS OVER ONE DOT PUNCTUATION (U+10B3B)"," f090acbb"
" &#68412;","LARGE TWO DOTS OVER ONE DOT PUNCTUATION (U+10B3C)"," f090acbc"
" &#68413;","LARGE ONE DOT OVER TWO DOTS PUNCTUATION (U+10B3D)"," f090acbd"
" &#68414;","LARGE TWO RINGS OVER ONE RING PUNCTUATION (U+10B3E)"," f090acbe"
" &#68415;","LARGE ONE RING OVER TWO RINGS PUNCTUATION (U+10B3F)"," f090acbf"
" &#68416;","INSCRIPTIONAL PARTHIAN LETTER ALEPH (U+10B40)"," f090ad80"
" &#68417;","INSCRIPTIONAL PARTHIAN LETTER BETH (U+10B41)"," f090ad81"
" &#68418;","INSCRIPTIONAL PARTHIAN LETTER GIMEL (U+10B42)"," f090ad82"
" &#68419;","INSCRIPTIONAL PARTHIAN LETTER DALETH (U+10B43)"," f090ad83"
" &#68420;","INSCRIPTIONAL PARTHIAN LETTER HE (U+10B44)"," f090ad84"
" &#68421;","INSCRIPTIONAL PARTHIAN LETTER WAW (U+10B45)"," f090ad85"
" &#68422;","INSCRIPTIONAL PARTHIAN LETTER ZAYIN (U+10B46)"," f090ad86"
" &#68423;","INSCRIPTIONAL PARTHIAN LETTER HETH (U+10B47)"," f090ad87"
" &#68424;","INSCRIPTIONAL PARTHIAN LETTER TETH (U+10B48)"," f090ad88"
" &#68425;","INSCRIPTIONAL PARTHIAN LETTER YODH (U+10B49)"," f090ad89"
" &#68426;","INSCRIPTIONAL PARTHIAN LETTER KAPH (U+10B4A)"," f090ad8a"
" &#68427;","INSCRIPTIONAL PARTHIAN LETTER LAMEDH (U+10B4B)"," f090ad8b"
" &#68428;","INSCRIPTIONAL PARTHIAN LETTER MEM (U+10B4C)"," f090ad8c"
" &#68429;","INSCRIPTIONAL PARTHIAN LETTER NUN (U+10B4D)"," f090ad8d"
" &#68430;","INSCRIPTIONAL PARTHIAN LETTER SAMEKH (U+10B4E)"," f090ad8e"
" &#68431;","INSCRIPTIONAL PARTHIAN LETTER AYIN (U+10B4F)"," f090ad8f"
" &#68432;","INSCRIPTIONAL PARTHIAN LETTER PE (U+10B50)"," f090ad90"
" &#68433;","INSCRIPTIONAL PARTHIAN LETTER SADHE (U+10B51)"," f090ad91"
" &#68434;","INSCRIPTIONAL PARTHIAN LETTER QOPH (U+10B52)"," f090ad92"
" &#68435;","INSCRIPTIONAL PARTHIAN LETTER RESH (U+10B53)"," f090ad93"
" &#68436;","INSCRIPTIONAL PARTHIAN LETTER SHIN (U+10B54)"," f090ad94"
" &#68437;","INSCRIPTIONAL PARTHIAN LETTER TAW (U+10B55)"," f090ad95"
" &#68440;","INSCRIPTIONAL PARTHIAN NUMBER ONE (U+10B58)"," f090ad98"
" &#68441;","INSCRIPTIONAL PARTHIAN NUMBER TWO (U+10B59)"," f090ad99"
" &#68442;","INSCRIPTIONAL PARTHIAN NUMBER THREE (U+10B5A)"," f090ad9a"
" &#68443;","INSCRIPTIONAL PARTHIAN NUMBER FOUR (U+10B5B)"," f090ad9b"
" &#68444;","INSCRIPTIONAL PARTHIAN NUMBER TEN (U+10B5C)"," f090ad9c"
" &#68445;","INSCRIPTIONAL PARTHIAN NUMBER TWENTY (U+10B5D)"," f090ad9d"
" &#68446;","INSCRIPTIONAL PARTHIAN NUMBER ONE HUNDRED (U+10B5E)"," f090ad9e"
" &#68447;","INSCRIPTIONAL PARTHIAN NUMBER ONE THOUSAND (U+10B5F)"," f090ad9f"
" &#68448;","INSCRIPTIONAL PAHLAVI LETTER ALEPH (U+10B60)"," f090ada0"
" &#68449;","INSCRIPTIONAL PAHLAVI LETTER BETH (U+10B61)"," f090ada1"
" &#68450;","INSCRIPTIONAL PAHLAVI LETTER GIMEL (U+10B62)"," f090ada2"
" &#68451;","INSCRIPTIONAL PAHLAVI LETTER DALETH (U+10B63)"," f090ada3"
" &#68452;","INSCRIPTIONAL PAHLAVI LETTER HE (U+10B64)"," f090ada4"
" &#68453;","INSCRIPTIONAL PAHLAVI LETTER WAW-AYIN-RESH (U+10B65)"," f090ada5"
" &#68454;","INSCRIPTIONAL PAHLAVI LETTER ZAYIN (U+10B66)"," f090ada6"
" &#68455;","INSCRIPTIONAL PAHLAVI LETTER HETH (U+10B67)"," f090ada7"
" &#68456;","INSCRIPTIONAL PAHLAVI LETTER TETH (U+10B68)"," f090ada8"
" &#68457;","INSCRIPTIONAL PAHLAVI LETTER YODH (U+10B69)"," f090ada9"
" &#68458;","INSCRIPTIONAL PAHLAVI LETTER KAPH (U+10B6A)"," f090adaa"
" &#68459;","INSCRIPTIONAL PAHLAVI LETTER LAMEDH (U+10B6B)"," f090adab"
" &#68460;","INSCRIPTIONAL PAHLAVI LETTER MEM-QOPH (U+10B6C)"," f090adac"
" &#68461;","INSCRIPTIONAL PAHLAVI LETTER NUN (U+10B6D)"," f090adad"
" &#68462;","INSCRIPTIONAL PAHLAVI LETTER SAMEKH (U+10B6E)"," f090adae"
" &#68463;","INSCRIPTIONAL PAHLAVI LETTER PE (U+10B6F)"," f090adaf"
" &#68464;","INSCRIPTIONAL PAHLAVI LETTER SADHE (U+10B70)"," f090adb0"
" &#68465;","INSCRIPTIONAL PAHLAVI LETTER SHIN (U+10B71)"," f090adb1"
" &#68466;","INSCRIPTIONAL PAHLAVI LETTER TAW (U+10B72)"," f090adb2"
" &#68472;","INSCRIPTIONAL PAHLAVI NUMBER ONE (U+10B78)"," f090adb8"
" &#68473;","INSCRIPTIONAL PAHLAVI NUMBER TWO (U+10B79)"," f090adb9"
" &#68474;","INSCRIPTIONAL PAHLAVI NUMBER THREE (U+10B7A)"," f090adba"
" &#68475;","INSCRIPTIONAL PAHLAVI NUMBER FOUR (U+10B7B)"," f090adbb"
" &#68476;","INSCRIPTIONAL PAHLAVI NUMBER TEN (U+10B7C)"," f090adbc"
" &#68477;","INSCRIPTIONAL PAHLAVI NUMBER TWENTY (U+10B7D)"," f090adbd"
" &#68478;","INSCRIPTIONAL PAHLAVI NUMBER ONE HUNDRED (U+10B7E)"," f090adbe"
" &#68479;","INSCRIPTIONAL PAHLAVI NUMBER ONE THOUSAND (U+10B7F)"," f090adbf"
" &#68480;","PSALTER PAHLAVI LETTER ALEPH (U+10B80)"," f090ae80"
" &#68481;","PSALTER PAHLAVI LETTER BETH (U+10B81)"," f090ae81"
" &#68482;","PSALTER PAHLAVI LETTER GIMEL (U+10B82)"," f090ae82"
" &#68483;","PSALTER PAHLAVI LETTER DALETH (U+10B83)"," f090ae83"
" &#68484;","PSALTER PAHLAVI LETTER HE (U+10B84)"," f090ae84"
" &#68485;","PSALTER PAHLAVI LETTER WAW-AYIN-RESH (U+10B85)"," f090ae85"
" &#68486;","PSALTER PAHLAVI LETTER ZAYIN (U+10B86)"," f090ae86"
" &#68487;","PSALTER PAHLAVI LETTER HETH (U+10B87)"," f090ae87"
" &#68488;","PSALTER PAHLAVI LETTER YODH (U+10B88)"," f090ae88"
" &#68489;","PSALTER PAHLAVI LETTER KAPH (U+10B89)"," f090ae89"
" &#68490;","PSALTER PAHLAVI LETTER LAMEDH (U+10B8A)"," f090ae8a"
" &#68491;","PSALTER PAHLAVI LETTER MEM-QOPH (U+10B8B)"," f090ae8b"
" &#68492;","PSALTER PAHLAVI LETTER NUN (U+10B8C)"," f090ae8c"
" &#68493;","PSALTER PAHLAVI LETTER SAMEKH (U+10B8D)"," f090ae8d"
" &#68494;","PSALTER PAHLAVI LETTER PE (U+10B8E)"," f090ae8e"
" &#68495;","PSALTER PAHLAVI LETTER SADHE (U+10B8F)"," f090ae8f"
" &#68496;","PSALTER PAHLAVI LETTER SHIN (U+10B90)"," f090ae90"
" &#68497;","PSALTER PAHLAVI LETTER TAW (U+10B91)"," f090ae91"
" &#68505;","PSALTER PAHLAVI SECTION MARK (U+10B99)"," f090ae99"
" &#68506;","PSALTER PAHLAVI TURNED SECTION MARK (U+10B9A)"," f090ae9a"
" &#68507;","PSALTER PAHLAVI FOUR DOTS WITH CROSS (U+10B9B)"," f090ae9b"
" &#68508;","PSALTER PAHLAVI FOUR DOTS WITH DOT (U+10B9C)"," f090ae9c"
" &#68521;","PSALTER PAHLAVI NUMBER ONE (U+10BA9)"," f090aea9"
" &#68522;","PSALTER PAHLAVI NUMBER TWO (U+10BAA)"," f090aeaa"
" &#68523;","PSALTER PAHLAVI NUMBER THREE (U+10BAB)"," f090aeab"
" &#68524;","PSALTER PAHLAVI NUMBER FOUR (U+10BAC)"," f090aeac"
" &#68525;","PSALTER PAHLAVI NUMBER TEN (U+10BAD)"," f090aead"
" &#68526;","PSALTER PAHLAVI NUMBER TWENTY (U+10BAE)"," f090aeae"
" &#68527;","PSALTER PAHLAVI NUMBER ONE HUNDRED (U+10BAF)"," f090aeaf"
" &#68608;","OLD TURKIC LETTER ORKHON A (U+10C00)"," f090b080"
" &#68609;","OLD TURKIC LETTER YENISEI A (U+10C01)"," f090b081"
" &#68610;","OLD TURKIC LETTER YENISEI AE (U+10C02)"," f090b082"
" &#68611;","OLD TURKIC LETTER ORKHON I (U+10C03)"," f090b083"
" &#68612;","OLD TURKIC LETTER YENISEI I (U+10C04)"," f090b084"
" &#68613;","OLD TURKIC LETTER YENISEI E (U+10C05)"," f090b085"
" &#68614;","OLD TURKIC LETTER ORKHON O (U+10C06)"," f090b086"
" &#68615;","OLD TURKIC LETTER ORKHON OE (U+10C07)"," f090b087"
" &#68616;","OLD TURKIC LETTER YENISEI OE (U+10C08)"," f090b088"
" &#68617;","OLD TURKIC LETTER ORKHON AB (U+10C09)"," f090b089"
" &#68618;","OLD TURKIC LETTER YENISEI AB (U+10C0A)"," f090b08a"
" &#68619;","OLD TURKIC LETTER ORKHON AEB (U+10C0B)"," f090b08b"
" &#68620;","OLD TURKIC LETTER YENISEI AEB (U+10C0C)"," f090b08c"
" &#68621;","OLD TURKIC LETTER ORKHON AG (U+10C0D)"," f090b08d"
" &#68622;","OLD TURKIC LETTER YENISEI AG (U+10C0E)"," f090b08e"
" &#68623;","OLD TURKIC LETTER ORKHON AEG (U+10C0F)"," f090b08f"
" &#68624;","OLD TURKIC LETTER YENISEI AEG (U+10C10)"," f090b090"
" &#68625;","OLD TURKIC LETTER ORKHON AD (U+10C11)"," f090b091"
" &#68626;","OLD TURKIC LETTER YENISEI AD (U+10C12)"," f090b092"
" &#68627;","OLD TURKIC LETTER ORKHON AED (U+10C13)"," f090b093"
" &#68628;","OLD TURKIC LETTER ORKHON EZ (U+10C14)"," f090b094"
" &#68629;","OLD TURKIC LETTER YENISEI EZ (U+10C15)"," f090b095"
" &#68630;","OLD TURKIC LETTER ORKHON AY (U+10C16)"," f090b096"
" &#68631;","OLD TURKIC LETTER YENISEI AY (U+10C17)"," f090b097"
" &#68632;","OLD TURKIC LETTER ORKHON AEY (U+10C18)"," f090b098"
" &#68633;","OLD TURKIC LETTER YENISEI AEY (U+10C19)"," f090b099"
" &#68634;","OLD TURKIC LETTER ORKHON AEK (U+10C1A)"," f090b09a"
" &#68635;","OLD TURKIC LETTER YENISEI AEK (U+10C1B)"," f090b09b"
" &#68636;","OLD TURKIC LETTER ORKHON OEK (U+10C1C)"," f090b09c"
" &#68637;","OLD TURKIC LETTER YENISEI OEK (U+10C1D)"," f090b09d"
" &#68638;","OLD TURKIC LETTER ORKHON AL (U+10C1E)"," f090b09e"
" &#68639;","OLD TURKIC LETTER YENISEI AL (U+10C1F)"," f090b09f"
" &#68640;","OLD TURKIC LETTER ORKHON AEL (U+10C20)"," f090b0a0"
" &#68641;","OLD TURKIC LETTER ORKHON ELT (U+10C21)"," f090b0a1"
" &#68642;","OLD TURKIC LETTER ORKHON EM (U+10C22)"," f090b0a2"
" &#68643;","OLD TURKIC LETTER ORKHON AN (U+10C23)"," f090b0a3"
" &#68644;","OLD TURKIC LETTER ORKHON AEN (U+10C24)"," f090b0a4"
" &#68645;","OLD TURKIC LETTER YENISEI AEN (U+10C25)"," f090b0a5"
" &#68646;","OLD TURKIC LETTER ORKHON ENT (U+10C26)"," f090b0a6"
" &#68647;","OLD TURKIC LETTER YENISEI ENT (U+10C27)"," f090b0a7"
" &#68648;","OLD TURKIC LETTER ORKHON ENC (U+10C28)"," f090b0a8"
" &#68649;","OLD TURKIC LETTER YENISEI ENC (U+10C29)"," f090b0a9"
" &#68650;","OLD TURKIC LETTER ORKHON ENY (U+10C2A)"," f090b0aa"
" &#68651;","OLD TURKIC LETTER YENISEI ENY (U+10C2B)"," f090b0ab"
" &#68652;","OLD TURKIC LETTER YENISEI ANG (U+10C2C)"," f090b0ac"
" &#68653;","OLD TURKIC LETTER ORKHON ENG (U+10C2D)"," f090b0ad"
" &#68654;","OLD TURKIC LETTER YENISEI AENG (U+10C2E)"," f090b0ae"
" &#68655;","OLD TURKIC LETTER ORKHON EP (U+10C2F)"," f090b0af"
" &#68656;","OLD TURKIC LETTER ORKHON OP (U+10C30)"," f090b0b0"
" &#68657;","OLD TURKIC LETTER ORKHON IC (U+10C31)"," f090b0b1"
" &#68658;","OLD TURKIC LETTER ORKHON EC (U+10C32)"," f090b0b2"
" &#68659;","OLD TURKIC LETTER YENISEI EC (U+10C33)"," f090b0b3"
" &#68660;","OLD TURKIC LETTER ORKHON AQ (U+10C34)"," f090b0b4"
" &#68661;","OLD TURKIC LETTER YENISEI AQ (U+10C35)"," f090b0b5"
" &#68662;","OLD TURKIC LETTER ORKHON IQ (U+10C36)"," f090b0b6"
" &#68663;","OLD TURKIC LETTER YENISEI IQ (U+10C37)"," f090b0b7"
" &#68664;","OLD TURKIC LETTER ORKHON OQ (U+10C38)"," f090b0b8"
" &#68665;","OLD TURKIC LETTER YENISEI OQ (U+10C39)"," f090b0b9"
" &#68666;","OLD TURKIC LETTER ORKHON AR (U+10C3A)"," f090b0ba"
" &#68667;","OLD TURKIC LETTER YENISEI AR (U+10C3B)"," f090b0bb"
" &#68668;","OLD TURKIC LETTER ORKHON AER (U+10C3C)"," f090b0bc"
" &#68669;","OLD TURKIC LETTER ORKHON AS (U+10C3D)"," f090b0bd"
" &#68670;","OLD TURKIC LETTER ORKHON AES (U+10C3E)"," f090b0be"
" &#68671;","OLD TURKIC LETTER ORKHON ASH (U+10C3F)"," f090b0bf"
" &#68672;","OLD TURKIC LETTER YENISEI ASH (U+10C40)"," f090b180"
" &#68673;","OLD TURKIC LETTER ORKHON ESH (U+10C41)"," f090b181"
" &#68674;","OLD TURKIC LETTER YENISEI ESH (U+10C42)"," f090b182"
" &#68675;","OLD TURKIC LETTER ORKHON AT (U+10C43)"," f090b183"
" &#68676;","OLD TURKIC LETTER YENISEI AT (U+10C44)"," f090b184"
" &#68677;","OLD TURKIC LETTER ORKHON AET (U+10C45)"," f090b185"
" &#68678;","OLD TURKIC LETTER YENISEI AET (U+10C46)"," f090b186"
" &#68679;","OLD TURKIC LETTER ORKHON OT (U+10C47)"," f090b187"
" &#68680;","OLD TURKIC LETTER ORKHON BASH (U+10C48)"," f090b188"
" &#68736;","OLD HUNGARIAN CAPITAL LETTER A (U+10C80)"," f090b280"
" &#68737;","OLD HUNGARIAN CAPITAL LETTER AA (U+10C81)"," f090b281"
" &#68738;","OLD HUNGARIAN CAPITAL LETTER EB (U+10C82)"," f090b282"
" &#68739;","OLD HUNGARIAN CAPITAL LETTER AMB (U+10C83)"," f090b283"
" &#68740;","OLD HUNGARIAN CAPITAL LETTER EC (U+10C84)"," f090b284"
" &#68741;","OLD HUNGARIAN CAPITAL LETTER ENC (U+10C85)"," f090b285"
" &#68742;","OLD HUNGARIAN CAPITAL LETTER ECS (U+10C86)"," f090b286"
" &#68743;","OLD HUNGARIAN CAPITAL LETTER ED (U+10C87)"," f090b287"
" &#68744;","OLD HUNGARIAN CAPITAL LETTER AND (U+10C88)"," f090b288"
" &#68745;","OLD HUNGARIAN CAPITAL LETTER E (U+10C89)"," f090b289"
" &#68746;","OLD HUNGARIAN CAPITAL LETTER CLOSE E (U+10C8A)"," f090b28a"
" &#68747;","OLD HUNGARIAN CAPITAL LETTER EE (U+10C8B)"," f090b28b"
" &#68748;","OLD HUNGARIAN CAPITAL LETTER EF (U+10C8C)"," f090b28c"
" &#68749;","OLD HUNGARIAN CAPITAL LETTER EG (U+10C8D)"," f090b28d"
" &#68750;","OLD HUNGARIAN CAPITAL LETTER EGY (U+10C8E)"," f090b28e"
" &#68751;","OLD HUNGARIAN CAPITAL LETTER EH (U+10C8F)"," f090b28f"
" &#68752;","OLD HUNGARIAN CAPITAL LETTER I (U+10C90)"," f090b290"
" &#68753;","OLD HUNGARIAN CAPITAL LETTER II (U+10C91)"," f090b291"
" &#68754;","OLD HUNGARIAN CAPITAL LETTER EJ (U+10C92)"," f090b292"
" &#68755;","OLD HUNGARIAN CAPITAL LETTER EK (U+10C93)"," f090b293"
" &#68756;","OLD HUNGARIAN CAPITAL LETTER AK (U+10C94)"," f090b294"
" &#68757;","OLD HUNGARIAN CAPITAL LETTER UNK (U+10C95)"," f090b295"
" &#68758;","OLD HUNGARIAN CAPITAL LETTER EL (U+10C96)"," f090b296"
" &#68759;","OLD HUNGARIAN CAPITAL LETTER ELY (U+10C97)"," f090b297"
" &#68760;","OLD HUNGARIAN CAPITAL LETTER EM (U+10C98)"," f090b298"
" &#68761;","OLD HUNGARIAN CAPITAL LETTER EN (U+10C99)"," f090b299"
" &#68762;","OLD HUNGARIAN CAPITAL LETTER ENY (U+10C9A)"," f090b29a"
" &#68763;","OLD HUNGARIAN CAPITAL LETTER O (U+10C9B)"," f090b29b"
" &#68764;","OLD HUNGARIAN CAPITAL LETTER OO (U+10C9C)"," f090b29c"
" &#68765;","OLD HUNGARIAN CAPITAL LETTER NIKOLSBURG OE (U+10C9D)"," f090b29d"
" &#68766;","OLD HUNGARIAN CAPITAL LETTER RUDIMENTA OE (U+10C9E)"," f090b29e"
" &#68767;","OLD HUNGARIAN CAPITAL LETTER OEE (U+10C9F)"," f090b29f"
" &#68768;","OLD HUNGARIAN CAPITAL LETTER EP (U+10CA0)"," f090b2a0"
" &#68769;","OLD HUNGARIAN CAPITAL LETTER EMP (U+10CA1)"," f090b2a1"
" &#68770;","OLD HUNGARIAN CAPITAL LETTER ER (U+10CA2)"," f090b2a2"
" &#68771;","OLD HUNGARIAN CAPITAL LETTER SHORT ER (U+10CA3)"," f090b2a3"
" &#68772;","OLD HUNGARIAN CAPITAL LETTER ES (U+10CA4)"," f090b2a4"
" &#68773;","OLD HUNGARIAN CAPITAL LETTER ESZ (U+10CA5)"," f090b2a5"
" &#68774;","OLD HUNGARIAN CAPITAL LETTER ET (U+10CA6)"," f090b2a6"
" &#68775;","OLD HUNGARIAN CAPITAL LETTER ENT (U+10CA7)"," f090b2a7"
